finding	class	commit	status	notes
64632	artifact-validation	12c3d8c73	fixed	Validated LowHighGenerator n_log at builder/deserialization/generator boundaries; focused tests: cargo test -p qp-plonky2 --test security_harness -- malformed_low_high_generator; cargo test -p qp-plonky2 range_check --lib.
64640	runtime-dos	60a18629c	fixed	QuotientGeneratorExtension uses try_inverse and returns generator failure for zero extension denominators; focused tests: cargo test -p qp-plonky2 --test security_harness -- zero_denominator; cargo test -p qp-plonky2 arithmetic_extension --lib.
64642	gadget-soundness	84f0a104b	fixed	exp_from_bits rejects exponent vectors beyond ExponentiationGate capacity and wire helpers assert in release; focused tests: cargo test -p qp-plonky2 --test security_harness --release -- oversized_exp_from_bits; cargo test -p qp-plonky2 --test security_harness -- exp_from_bits; cargo test -p qp-plonky2 exponentiation --lib.
64651	runtime-dos	5be33b3d1	fixed	CosetInterpolationGate now constrains shift * shift_inverse = 1 and InterpolationGenerator uses try_inverse for zero-shift proving errors; focused tests: cargo test -p qp-plonky2 --test security_harness -- interpolation_generator_zero_shift; cargo test -p qp-plonky2 --test security_harness -- interpolation_generator_nonzero_shift; cargo test -p qp-plonky2 coset_interpolation --lib.
64659	gadget-soundness	298c6c79b	fixed	ReducingGate and ReducingExtensionGate reject num_coeffs == 0 in constructors and deserializers; focused tests: cargo test -p qp-plonky2 --test security_harness -- zero_coeff_reducing_gate; cargo test -p qp-plonky2 reducing --lib.
64679	artifact-validation	5288f3a83	fixed	Serialized FFT root tables are shape-checked against the expected table and discarded in favor of recomputation from CommonCircuitData; focused tests: cargo test -p qp-plonky2 --test security_harness -- malformed_fft_root_table; cargo test -p qp-plonky2 --test security_harness -- valid_fft_root_table; cargo test -p qp-plonky2 fft --lib.
64683	runtime-dos	0afecbc70	fixed	ZeroPolyOnCoset has a bounded try_new constructor with checked shifts/domain checks and prover paths use it; focused tests: cargo test -p qp-plonky2 --test security_harness -- zero_poly_on_coset; cargo test -p qp-plonky2-field zero_poly --lib; cargo check -p starky.
64696	artifact-validation	2f2161de4	fixed	FriInstanceInfo::check_references validates oracle and polynomial indices before FRI proof shape verification; focused tests: cargo test -p qp-plonky2 --test security_harness -- malformed_fri_oracle_metadata; cargo test -p qp-plonky2 --test security_harness -- valid_fri_oracle_metadata; cargo test -p qp-plonky2-core fri --lib; cargo test -p qp-plonky2-verifier fri --lib.
64699	artifact-validation	460b5ce2b	fixed	FriParams::check_valid rejects malformed Split final-polynomial layouts and deserializers/common-data validation call it; focused tests: cargo test -p qp-plonky2 --test security_harness -- split_final_poly_layout; cargo test -p qp-plonky2-core fri --lib; cargo test -p qp-plonky2-verifier fri --lib.
64700	defense-in-depth	7c0d7a330	fixed	CommonCircuitData validation now requires public_initial_degree_bits to match FriParams degree_bits during direct validation and deserialization; focused tests: cargo test -p qp-plonky2 --test security_harness -- fri_degree_bits; cargo test -p qp-plonky2 circuit_data --lib; cargo test -p qp-plonky2-verifier circuit_data --lib.
64703	merkle-binding	c5f8b727a	fixed	Merkle leaves now hash domain_tag || length || payload, internal nodes use a distinct domain tag, and native/recursive Merkle verification paths share the secure encoding; focused tests: cargo test -p qp-plonky2 --test security_harness -- merkle; cargo test -p qp-plonky2 merkle --lib; cargo test -p qp-plonky2 hash --lib.
